seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
2,0.0005,0.05,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0012233595527028074,-0.0001942635303285034,-2.7912139025587646e-05
2,0.001,0.05,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.002446721659623563,-0.00038849402290239143,-5.5823368262902795e-05
2,0.0005,0.082,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0019457130692699387,-0.0003089618563618113,-4.467439731178913e-05
2,0.001,0.082,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0038914307365623957,-0.0006178401621886043,-8.934646401448365e-05
2,0.0005,0.1,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0023374311229674705,-0.0003711532133431894,-5.375932306642128e-05
2,0.001,0.1,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.004674867481258449,-0.0007421858666266934,-0.00010751527124711058
2,0.0005,0.2,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.004351746565865566,-0.0006909417993795075,-9.829838239078237e-05
2,0.001,0.2,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.008703496697998303,-0.0013814659160303056,-0.00019658548394999031
2,0.0005,0.5,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.009565020376786193,-0.001519577678494699,-0.00020093901791709556
2,0.001,0.5,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.01913018929928101,-0.0030371355034065073,-0.00040183090625059426
2,0.0005,1.0,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.018898814431516975,-0.0030023905052809774,-0.00037065939092109645
2,0.001,1.0,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0377990989641106,-0.005996894034435096,-0.0007411583719293124
3,0.0005,0.02,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0004962902180943862,-7.886829314610044e-05,-1.299074861041416e-05
